,deviceOs,appSeq,name,crashrate
0,android,278,(미사용)쿵야 캐치마인드 글로벌 - Android,0.0
1,ios,279,(미사용)쿵야 캐치마인드 글로벌 - iOS,0.0
2,android,88,4Ones Poker (Android),0.0
3,ios,89,4Ones Poker (iOS),0.0
4,android,215,4OnesPoker APL (Android),0.0
5,android,212,4OnesPoker Indonesia (Android),0.0
6,ios,213,4OnesPoker Indonesia (iOS),0.0
7,android,214,4OnesPoker 국내 (Android),0.0
8,android,282,7개의대죄 글로벌(Android),0.38
9,ios,283,7개의대죄 글로벌(iOS),0.26
10,android,275,7개의대죄 일본 CBT (Android ),0.0
11,ios,276,7개의대죄 일본 CBT (iOS),0.0
12,android,167,7개의대죄 일본(Android),0.18
13,ios,168,7개의대죄 일본(iOS),0.09
14,android,263,7개의대죄 한국(Android),1.02
15,ios,264,7개의대죄 한국(iOS),0.19
16,android,231,A3:Still Alive - Android,6.2
17,ios,232,A3:Still Alive - iOS,0.74
18,android,307,A3글로벌,0.0
19,ios,308,A3글로벌,0.0
20,ios,93,ACRA,0.0
21,android,92,ACRA - AOS,0.0
22,ios,138,aden (ios),0.0
23,android,139,aden 대만(AOS),0.0
24,ios,140,aden 대만(IOS),0.0
25,ios,119,BladeHeart for Global,0.0
26,android,118,BladeHeart for Global,0.0
27,ios,249,BTS World,0.52
28,android,248,BTS World,0.33
29,android,258,CrashReport App for Sample,0.0
30,android,2,CrashReport App for Sample,0.0
31,ios,259,CrashReport App for Sample,0.0
32,ios,1,CrashReport App for Sample,0.0
33,android,4,Dragon Striker for Global,0.0
34,ios,3,Dragon Striker for Global,0.0
35,android,121,FinalShot for Global(Android),0.0
36,ios,122,FinalShot for Global(iOS),0.0
37,android,14,Future Fight for Global (Android),2.05
38,ios,15,Future Fight for Global (iOS),0.35
39,android,96,GI JOE : War on Cobra (Android),0.0
40,ios,97,GI JOE : War on Cobra (iOS),0.0
41,android,177,icarus for Android,0.0
42,ios,178,icarus for iOS,0.0
43,android,104,Iron Throne (Android),0.98
44,ios,105,Iron Throne (iOS),2.81
45,android,226,justintest,0.0
46,android,182,kekechat_sample (AOS),0.0
47,ios,181,kekechat_sample (iOS),0.0
48,android,238,KOF 올스타 - 국내 체험판,0.0
49,android,256,KOF 올스타 - 글로벌,2.72
50,ios,257,KOF 올스타 - 글로벌,0.53
51,ios,103,KOF 올스타 - 일본,0.41
52,android,102,KOF 올스타 - 일본,1.5
53,ios,253,KOF 올스타 - 한국,0.79
54,android,252,KOF 올스타 - 한국,2.88
55,android,27,KON - Android,0.0
56,ios,28,KON - iOS,0.0
57,android,290,KOONGYA DRAW PARTY(캐마글로벌) - Android,0.79
58,ios,291,KOONGYA DRAW PARTY(캐마글로벌) - IOS,0.57
59,android,187,Lineage2 Revolution WS - Android,6.27
60,ios,188,Lineage2 Revolution WS - iOS,4.96
61,android,240,manastrike (android),0.36
62,ios,241,manastrike (iOS),0.8
63,android,267,MARVEL Future Revolution (Android),12.87
64,ios,268,MARVEL Future Revolution (iOS),4.02
65,ios,33,MARVEL 퓨처파이트 for China(iOS),0.41
66,android,35,MARVEL 퓨처파이트 for China(Tencent),0.23
67,android,34,MARVEL 퓨처파이트 for China(Xiomi),0.0
68,android,265,medalwarsobt for android,0.0
69,ios,266,medalwarsobt for ios,0.0
70,android,203,momavn for Android,0.0
71,ios,204,momavn for iOS,0.0
72,none,209,network,
73,android,185,Papaya,0.0
74,ios,186,Papaya,0.0
75,android,242,ProjectN - Android,0.0
76,ios,243,ProjectN - iOS,0.0
77,ios,274,projectsk3,0.0
78,android,273,Projectsk3,0.0
79,android,303,ProjectT - Android,0.0
80,ios,304,ProjectT - iOS,0.0
81,android,244,Rich Wars (Android),0.21
82,ios,245,Rich Wars (iOS),0.0
83,android,246,ROUND for AOS,0.0
84,ios,247,round for iOS,0.0
85,android,39,Seven Knights for Global - android,3.77
86,ios,38,Seven Knights for Global - ios,1.33
87,android,37,Seven Knights for Japan - android,1.65
88,ios,36,Seven Knights for Japan - ios,2.68
89,android,135,SevenKnights for China - android,0.0
90,ios,136,SevenKnights for China - ios,0.0
91,android,73,Teria Saga - Android,0.0
92,ios,75,Teria Saga - iOS,0.0
93,android,233,test,0.0
94,ios,225,test,0.0
95,android,230,test2,0.0
96,android,149,Trendytown for Global,0.0
97,ios,150,Trendytown for Global,0.0
98,ios,239,[미사용] KOF 올스타 - 아시아(지스타),0.0
99,android,294,극열 마구마구,0.0
100,ios,295,극열마구마구,0.0
101,android,54,나이츠크로니클 - Android,0.0
102,ios,55,나이츠크로니클 - iOS,0.0
103,android,56,나이츠크로니클 CBT,0.0
104,android,207,나이츠크로니클글로벌_Android,0.74
105,ios,208,나이츠크로니클글로벌_iOS,0.67
106,ios,144,넷마블바둑,0.21
107,android,143,넷마블바둑,0.28
108,android,123,넷마블포커(Android),0.03
109,ios,124,넷마블포커(iOS),0.0
110,android,43,데스티니6 - android,1.15
111,ios,42,데스티니6 - ios,0.0
112,android,66,디즈니 매지컬다이스 글로벌(Android),0.0
113,ios,63,디즈니 매지컬다이스 글로벌(iOS),0.0
114,android,64,디즈니 매지컬다이스 일본(Android),0.0
115,ios,65,디즈니 매지컬다이스 일본(iOS),0.0
116,ios,172,디즈니매지컬다이스신규,0.0
117,android,171,디즈니매지컬다이스신규,0.0
118,android,117,레드,0.0
119,ios,116,레드,0.0
120,ios,198,레드타이드,0.0
121,android,197,레드타이드,0.0
122,android,191,레보토크,0.13
123,ios,192,레보토크,0.19
124,ios,217,레볼루션 베트남,5.26
125,android,216,레볼루션 베트남,18.89
126,ios,148,레볼루션_아시아,6.12
127,android,147,레볼루션_아시아,6.41
128,android,145,레볼루션_일본_android,4.37
129,ios,146,레볼루션_일본_iOS,3.43
130,android,127,레이븐 for China (Android),0.0
131,ios,128,레이븐 for China (IOS),0.0
132,android,5,레이븐 JP (Android),0.0
133,ios,6,레이븐 JP (iOS),0.0
134,android,90,레이븐: 각성[AWAKEN] - AOS,0.85
135,ios,91,레이븐: 각성[AWAKEN] - iOS,0.83
136,ios,101,리니지II:레볼루션,4.54
137,android,100,리니지II:레볼루션,3.6
138,ios,262,마구 감독판,0.0
139,android,261,마구 감독판,0.0
140,ios,302,마구마구 2020,1.65
141,android,301,마구마구 2020,0.45
142,ios,99,마구마구M,0.0
143,android,98,마구마구M,0.56
144,ios,296,마나스트라이크(지스타),0.0
145,android,254,마퓨파중국 비마켓(공홈),0.17
146,android,7,모두의 마블 for Kakao (Android),0.23
147,ios,8,모두의 마블 for Kakao (iOS),0.29
148,ios,32,모두의 마블 for Thai,0.0
149,android,31,모두의 마블 for Thai,0.0
150,android,9,모두의마블 for Turkey (Android),0.32
151,ios,10,모두의마블 for Turkey (iOS),0.47
152,android,46,모바일 대박맞고 for netmarbleS (Android),0.1
153,android,29,모비럼 (Android),0.0
154,ios,30,모비럼 (iOS),0.0
155,android,78,몬스터길들이기 for Kakao - Android,2.32
156,ios,79,몬스터길들이기 for Kakao - iOS,0.4
157,android,111,발람(Android),0.0
158,ios,110,발람(iOS),0.0
159,android,12,붕붕붕 for JP (Android),0.0
160,ios,13,붕붕붕 for JP (iOS),0.0
161,ios,196,블레이드 앤 소울 월드 (국내),0.0
162,android,195,블레이드 앤 소울 월드 (국내),0.98
163,android,292,블레이드 앤 소울 월드 (일본),0.0
164,ios,293,블레이드 앤 소울 월드 (일본),0.0
165,android,179,블레이드앤소울 서포트앱(AOS),0.0
166,ios,180,블레이드앤소울 서포트앱(iOS),0.0
167,android,297,블레이드앤소울 아시아 - Android,5.35
168,ios,298,블레이드앤소울 아시아 - iOS,2.25
169,android,94,블레이드앤소울 웨스턴 - Android,0.0
170,ios,95,블레이드앤소울 웨스턴 - iOS,0.0
171,android,280,블레이드앤소울 일본 - Android,4.68
172,ios,281,블레이드앤소울 일본 - iOS,2.4
173,android,250,블레이드앤소울 한국 - Android,3.72
174,ios,251,블레이드앤소울 한국 - iOS,1.82
175,android,41,세븐나이츠 for Kakao - android,2.07
176,ios,40,세븐나이츠 for Kakao - ios,0.53
177,ios,194,세븐나이츠2,10.0
178,android,193,세븐나이츠2,0.0
179,android,269,소녀기원(soulworker) For Aos,0.0
180,ios,270,소녀기원(soulworker) For IOS,0.0
181,android,112,소울킹 국내 (Android ),0.0
182,ios,113,소울킹 국내 (ios),0.0
183,android,114,소울킹 글로벌 (android),0.0
184,ios,115,소울킹 글로벌 (ios),0.0
185,ios,53,스타워즈,0.0
186,android,52,스타워즈,0.0
187,android,69,스톤에이지 (android),1.12
188,ios,70,스톤에이지 (ios),0.34
189,android,229,스톤에이지 cpdev (android),0.0
190,android,299,스톤에이지 MMO for Global AOS,1.99
191,ios,300,스톤에이지 MMO for Global IOS,0.34
192,android,210,스톤에이지 MMO for Taiwan AOS,0.0
193,android,224,스톤에이지 MMO for Taiwan CBT,0.0
194,ios,211,스톤에이지 MMO for Taiwan IOS,0.0
195,ios,277,스톤에이지M IOS For CN(石器时代M 中国IOS),0.87
196,android,237,스톤에이지MMO(KR) AOS,0.0
197,ios,236,스톤에이지MMO(KR) IOS,0.0
198,android,87,아덴,0.0
199,android,173,야구전당2 for Taiwan (Android),0.04
200,ios,174,야구전당2 for Taiwan (iOS),0.43
201,android,57,요괴 - android,0.0
202,ios,59,요괴 - ios,0.0
203,ios,126,요괴워치 for Japan,0.04
204,android,125,요괴워치 for Japan,0.22
205,android,106,이데아 - 대홍마 (Android),0.0
206,ios,108,이데아 - 대홍마 (iOS),0.0
207,android,137,이데아 대홍마 CBT - Android,0.0
208,android,26,이데아 중국 (Android),0.0
209,ios,25,이데아 중국(iOS),0.0
210,android,68,이블베인,0.0
211,ios,71,이블베인,0.0
212,android,76,이사만루2 (Android),0.0
213,ios,77,이사만루2 (iOS),0.0
214,ios,220,이카루스M World,0.0
215,android,219,이카루스M World,0.0
216,android,305,제2의나라,20.0
217,ios,306,제2의나라 - iOS,0.0
218,android,189,중국샘플앱(PANDA) - Android,0.0
219,ios,190,중국샘플앱(PANDA) - IOS,0.0
220,android,271,쿵야 캐치마인드(국내) Android,0.6
221,ios,272,쿵야 캐치마인드(국내) IOS,0.94
222,ios,202,클래시사커,0.0
223,android,201,클래시사커,0.0
224,android,286,테라 오리진 - Android,1.01
225,ios,287,테라 오리진 - iOS,1.11
226,android,227,테라(일본) CBT - Android,0.0
227,ios,228,테라(일본) CBT- iOS,0.0
228,android,288,테라: 더 비기닝 (Android),0.0
229,ios,289,테라: 더 비기닝 (iOS),0.0
230,android,133,테라M(Andorid),8.32
231,ios,134,테라M(iOS),0.86
232,android,234,테리아사가 글로벌 - android,0.0
233,ios,235,테리아사가 글로벌 - iOS,0.0
234,android,218,테리아사가 품평회,0.0
235,android,44,팬텀게이트 (Android),0.81
236,ios,45,팬텀게이트 (iOS),0.55
237,android,183,페이트/그랜드오더(AOS),0.87
238,ios,184,페이트/그랜드오더(iOS),0.41
239,ios,285,프로젝트 판,0.0
240,android,284,프로젝트 판,0.49
241,android,131,피싱스트라이크(Android),0.5
242,ios,132,피싱스트라이크(iOS),0.39
